grey_peg,300,300
blue_peg,250,300
blue_peg,350,300
blue_peg,280,255
blue_peg,320,255
blue_peg,280,345
blue_peg,320,345
grey_peg_horizontal,300,460
grey_peg_horizontal,268,460
grey_peg_horizontal,332,460
grey_peg_vertical,240,456
grey_peg_vertical,360,456
grey_peg,724,300
blue_peg,774,300
blue_peg,674,300
blue_peg,744,255
blue_peg,704,255
blue_peg,744,345
blue_peg,704,345
blue_peg,416,420
blue_peg,464,420
blue_peg,512,420
blue_peg,560,420
blue_peg,608,420
blue_peg,440,380
blue_peg,488,380
blue_peg,536,380
blue_peg,584,380
grey_peg_horizontal,724,460
grey_peg_horizontal,756,460
grey_peg_horizontal,692,460
grey_peg_vertical,784,456
grey_peg_vertical,664,456
grey_peg,140,600
blue_peg,90,600
blue_peg,190,600
blue_peg,120,555
blue_peg,160,555
blue_peg,120,645
blue_peg,160,645
grey_peg,884,600
blue_peg,934,600
blue_peg,834,600
blue_peg,904,555
blue_peg,864,555
blue_peg,904,645
blue_peg,864,645
